NUM,DATE,SAMPLE,REPLICATE,ANIMAL,BATCH,SUB_1_RP,SUB_2_H,SUB_3_LS,SUB_4_LP,AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,CLIV,BLAST_D8,CELLS_COUNT
59,11/09/2015,200,35,NE209,160_04,7.76,27,29.47,35.77,91,77.4,77.4,.,65,75,27,179,88,74.5,58.9,138.6,6.4,28.5,78,46,28,15,20,7,12,60,68.919,11.842,148
60,15/09/2015,207,36,NE209,160_04,7.76,27,29.47,35.77,87.3,67.8,78.2,0,60,65,36,198,108,87.8,69.3,161,7.1,28.9,79,45,32,21,27,5,9,59,62.162,9.459,.
61,21/08/2015,189,33,NE213,153_05,11.6,29.62,28.7,30.08,93,75.1,66.7,0.072,70,70,24,151,61,104.5,89.5,192.3,8.5,33.4,84,49,68,48,57,11,12,20,86.42,22.222,.
62,11/09/2015,203,35,NE213,153_05,11.6,29.62,28.7,30.08,92.1,74.5,68.8,.,45,65,42,242,152,77,66.1,145.3,5.6,37.8,84,47,39,27,31,8,18,44,73.418,39.241,.
63,09/01/2016,315,47,NE213,153_05,11.6,29.62,28.7,30.08,88.8,66.6,74.8,0.95,60,35,36,107,22,96.1,73.2,182.8,9.1,24.6,76,43,19,15,5,0,11,0,87.719,19.298,.
64,23/01/2016,337,49,NE213,153_05,11.6,29.62,28.7,30.08,86,61.4,55.2,0.009,55,65,37,202,117,99.7,79.4,206.4,8.8,34.8,78,40,48,36,46,2,7,45,72.727,31.818,177
65,28/08/2015,195,34,GALHO,101011,32.34,24.16,7.81,35.69,72.9,32.5,56.7,2.97,60,50,20,88,0,82.7,63.4,170.2,7.4,30.8,77,40,46,29,41,5,14,40,73.973,16.438,177
66,11/09/2015,199,35,GALHO,101011,32.34,24.16,7.81,35.69,87.3,54.2,62.4,.,45,50,14,60,0,82.6,68.6,154.1,7,33.8,82,47,47,33,38,9,9,43,73.333,26.667,.
67,17/09/2015,217,37,GALHO,101011,32.34,24.16,7.81,35.69,86.5,56.4,68.7,0.24,40,40,13,44,0,93.5,78.6,178.5,5.8,43.7,83,46,35,28,33,2,9,56,72.727,20.588,176.75
68,11/08/2015,164,30,NE049,016_04,22.96,38.16,28.75,10.13,80.4,46.1,56.8,3.94,40,60,29,153,63,76.5,59.1,155,59.1,33,78,44,62,26,39,23,19,19,70.886,10.127,.
69,21/08/2015,188,33,NE049,016_04,22.96,38.16,28.75,10.13,88,66.8,62.6,0.03,55,70,41,255,165,105.6,82,218.9,9.5,32.4,78,40,69,49,65,5,10,20,79.487,12.821,137.667
70,17/09/2015,223,37,NE049,016_04,22.96,38.16,28.75,10.13,86.5,61.6,68.5,0.18,70,50,36,151,66,97.9,77,168.6,6,38.5,81,50,32,21,27,5,7,60,82.192,16.438,57
